Taxable.Income,City.Population,Work.Experience,Undergrad_NO,Undergrad_YES,Marital.Status_Divorced,Marital.Status_Married,Marital.Status_Single,Urban_NO,Urban_YES
1,0.1394720659314134,0.3333333333333333,1,0,0,0,1,0,1
1,0.6223943815769056,0.6,0,1,1,0,0,0,1
1,0.7725676584348187,1.0,1,0,0,1,0,0,1
1,0.9625630032356508,0.5,0,1,0,0,1,0,1
1,0.010080517704124742,0.9333333333333333,1,0,0,1,0,1,0
1,0.5207098891372939,0.0,1,0,1,0,0,1,0
1,0.31673170535462847,0.26666666666666666,1,0,1,0,0,0,1
1,0.6061758975626297,0.1,0,1,0,0,1,0,1
1,0.44081862539439887,0.4,1,0,0,0,1,0,1
1,0.7454238242748522,0.13333333333333333,0,1,1,0,0,0,1
0,0.44151403168983727,0.6333333333333333,1,0,0,0,1,0,1
1,0.39710573049270403,0.2,1,0,0,0,1,0,1
0,0.7026132334093874,0.4666666666666667,1,0,1,0,0,0,1
1,0.34982959672182024,0.5333333333333333,1,0,0,1,0,0,1
1,0.18247231305927045,0.43333333333333335,1,0,0,1,0,0,1
1,0.4711808688555681,0.9666666666666667,1,0,1,0,0,1,0
0,0.05041408283955656,0.9666666666666667,0,1,1,0,0,1,0
1,0.18054701463801517,0.8333333333333334,0,1,0,1,0,1,0
1,0.19247237053086516,0.2,0,1,1,0,0,1,0
0,0.5814631118569648,1.0,1,0,0,0,1,0,1
1,0.6979522870821097,0.8666666666666667,0,1,0,0,1,1,0
0,0.019120799544824985,0.23333333333333334,0,1,1,0,0,0,1
1,0.7446192219495514,0.4666666666666667,0,1,1,0,0,1,0
1,0.14204679337237572,0.4,1,0,0,0,1,0,1
1,0.015609285110833981,1.0,1,0,1,0,0,1,0
1,0.5679745285892448,0.9,1,0,1,0,0,0,1
1,0.8238495623538067,0.5,0,1,1,0,0,1,0
1,0.01587940160575635,0.4,0,1,0,0,1,0,1
0,0.5918827119696091,0.16666666666666666,0,1,0,0,1,0,1
1,0.09243731285811987,1.0,0,1,1,0,0,0,1
1,0.5287903953470997,0.0,0,1,1,0,0,0,1
1,0.699055741699665,0.7,1,0,1,0,0,1,0
1,0.15018477117684584,0.7666666666666666,0,1,0,1,0,1,0
1,0.7555905493709735,0.7,0,1,0,0,1,1,0
0,0.9079822297829298,0.03333333333333333,0,1,1,0,0,0,1
1,0.08814993189616033,1.0,0,1,0,1,0,0,1
0,0.9667641768056138,0.16666666666666666,0,1,0,1,0,0,1
1,0.236397910332818,0.16666666666666666,1,0,0,1,0,0,1
0,0.8723958183667723,0.1,1,0,0,0,1,1,0
1,0.16782855073879735,0.5333333333333333,1,0,0,1,0,0,1
1,0.999534480083219,0.8666666666666667,1,0,0,0,1,0,1
1,0.37784699912068465,0.03333333333333333,0,1,0,1,0,1,0
1,0.1487767171075696,0.4,1,0,0,0,1,1,0
1,0.13931689262581973,0.3333333333333333,0,1,1,0,0,1,0
1,0.42012310415577103,0.7333333333333333,0,1,1,0,0,1,0
1,0.9041201386214864,0.4666666666666667,0,1,0,1,0,0,1
1,0.6411933401916103,0.9,0,1,0,1,0,0,1
1,0.05278765969919369,0.06666666666666667,0,1,0,0,1,1,0
0,0.05575319398387349,0.4,1,0,0,1,0,1,0
1,0.7725101868401543,0.5,1,0,1,0,0,0,1
1,0.6898028149587067,0.1,0,1,0,0,1,0,1
1,0.852091103971862,1.0,0,1,0,0,1,1,0
1,0.37959413559848043,0.7666666666666666,1,0,0,0,1,1,0
0,0.6515209857527917,0.23333333333333334,0,1,0,0,1,0,1
1,0.41625526583486117,0.7666666666666666,1,0,1,0,0,1,0
0,0.36888717751251443,0.5333333333333333,0,1,0,0,1,0,1
1,0.25317961597480443,0.8333333333333334,1,0,0,1,0,0,1
1,0.258421025408192,0.43333333333333335,1,0,0,0,1,1,0
0,0.7601652883062546,0.5,0,1,0,0,1,1,0
1,0.4393645940493911,0.36666666666666664,1,0,0,0,1,1,0
1,0.3756285955666412,0.7666666666666666,0,1,0,1,0,1,0
0,0.34707096017793204,0.26666666666666666,0,1,0,1,0,1,0
1,0.700607474755602,0.43333333333333335,1,0,1,0,0,0,1
1,0.40260001494261466,0.3,0,1,1,0,0,1,0
1,0.5315088017747228,0.5,0,1,0,0,1,1,0
1,0.971034316289174,0.9666666666666667,1,0,1,0,0,1,0
1,0.23681745297386766,0.4,0,1,0,1,0,0,1
1,0.8517692630417416,0.8,0,1,0,1,0,1,0
0,0.6543888183265422,0.16666666666666666,1,0,0,0,1,1,0
1,0.35124914511002936,0.9666666666666667,0,1,0,0,1,1,0
1,0.3168121655871585,0.1,0,1,1,0,0,0,1
1,0.4592037885275203,0.7333333333333333,1,0,0,0,1,1,0
1,0.4742613463295766,0.9,0,1,1,0,0,0,1
1,0.8563842320932878,0.06666666666666667,0,1,0,0,1,0,1
1,0.8996603428755338,0.5666666666666667,1,0,1,0,0,1,0
1,0.14152380186093025,0.6333333333333333,1,0,0,1,0,0,1
1,0.5941700814372497,0.36666666666666664,0,1,0,1,0,1,0
1,0.5319858160104368,0.8666666666666667,0,1,0,1,0,1,0
1,0.6745670952131909,0.0,0,1,1,0,0,1,0
0,0.6615325375433192,0.23333333333333334,1,0,1,0,0,0,1
1,0.013821918516773085,0.8666666666666667,1,0,0,1,0,1,0
1,0.5507445445088766,0.8,0,1,1,0,0,1,0
1,0.4901694837326651,0.8666666666666667,1,0,1,0,0,0,1
1,0.27692113173064214,0.6,1,0,1,0,0,0,1
1,0.8753153753757207,0.13333333333333333,1,0,0,1,0,0,1
0,0.5711297191363169,0.4,0,1,1,0,0,0,1
1,0.41230696728142113,0.9666666666666667,0,1,1,0,0,0,1
0,0.22009321892654557,0.7666666666666666,0,1,0,0,1,1,0
1,0.21906447738205395,0.8,1,0,0,1,0,0,1
0,0.8636314001804609,0.6666666666666666,0,1,0,1,0,1,0
1,0.4336404232208231,0.9666666666666667,1,0,1,0,0,1,0
1,0.2755992850533624,0.3333333333333333,0,1,0,1,0,0,1
1,0.5105891413169041,0.43333333333333335,1,0,1,0,0,1,0
0,0.6430899028155335,0.1,0,1,0,1,0,0,1
0,0.5570491784435543,0.2,1,0,0,0,1,0,1
1,0.5501123569675688,0.9333333333333333,0,1,0,0,1,0,1
0,0.2174897556882511,0.5666666666666667,1,0,0,0,1,1,0
1,0.06936821475985494,0.6333333333333333,0,1,1,0,0,0,1
0,0.29467985448192235,0.6,0,1,0,1,0,0,1
1,0.5090316611015006,0.4,1,0,0,1,0,1,0
1,0.11876505037385274,0.8333333333333334,0,1,0,0,1,1,0
1,0.14201805757504357,0.6666666666666666,0,1,0,1,0,0,1
1,0.377640101379893,0.7666666666666666,0,1,1,0,0,1,0
1,0.2904556922740935,0.16666666666666666,1,0,1,0,0,0,1
1,0.8542807717285731,0.4666666666666667,1,0,0,0,1,1,0
1,0.1213455249742815,0.5,1,0,0,0,1,1,0
0,0.18825395548250282,0.6666666666666666,0,1,0,0,1,0,1
1,0.15313306398312634,0.2,1,0,0,1,0,0,1
1,0.5466410726498429,0.3333333333333333,0,1,0,1,0,0,1
1,0.8782004494278702,0.26666666666666666,0,1,0,1,0,0,1
0,0.03833930080057932,0.6333333333333333,1,0,0,0,1,0,1
1,0.7974011344892787,0.36666666666666664,1,0,0,0,1,0,1
1,0.9612641451962368,0.8666666666666667,0,1,0,0,1,0,1
1,0.4285541870930293,0.23333333333333334,0,1,0,1,0,0,1
0,0.9894022379438964,0.23333333333333334,1,0,0,0,1,1,0
1,0.3015649515227099,0.7,0,1,1,0,0,0,1
1,0.6137449065799229,0.4,1,0,0,1,0,1,0
1,0.4056977338950224,0.9666666666666667,1,0,0,0,1,0,1
0,0.9965287156822741,0.3333333333333333,1,0,1,0,0,1,0
1,0.12312139724940949,1.0,1,0,1,0,0,0,1
1,0.6328024873706171,0.36666666666666664,0,1,0,0,1,0,1
0,0.3498238495623538,0.5333333333333333,0,1,0,1,0,0,1
0,0.6608256369289479,0.8666666666666667,0,1,0,1,0,1,0
0,0.30979488387864296,0.8666666666666667,0,1,0,1,0,1,0
1,0.6525612216162162,0.43333333333333335,0,1,1,0,0,1,0
1,0.7464985430950752,0.36666666666666664,0,1,1,0,0,1,0
0,0.9726665095776413,0.1,0,1,1,0,0,0,1
1,0.38653095707446594,0.9333333333333333,1,0,0,0,1,0,1
1,0.43171512479956786,0.9,1,0,0,1,0,0,1
1,0.22810475922275417,0.8666666666666667,0,1,0,0,1,1,0
1,0.35604227610503514,0.23333333333333334,0,1,0,0,1,0,1
1,0.853694561462997,0.5333333333333333,0,1,0,0,1,0,1
1,0.24161633112833983,0.4,1,0,1,0,0,1,0
1,0.3498123552434209,0.4666666666666667,1,0,0,0,1,0,1
1,0.9459019879424594,0.9333333333333333,0,1,0,1,0,1,0
0,0.28473726860499204,0.6333333333333333,0,1,1,0,0,0,1
1,0.15939172064207266,0.3,1,0,1,0,0,1,0
0,0.5178478037230099,0.2,0,1,0,0,1,1,0
1,0.7445789918332865,0.8333333333333334,1,0,0,0,1,1,0
1,0.3512951223857609,0.6666666666666666,0,1,1,0,0,1,0
0,0.38857119868504997,0.13333333333333333,0,1,0,1,0,0,1
1,0.968884878648728,0.7666666666666666,0,1,0,1,0,0,1
1,0.5567560733107662,0.8666666666666667,1,0,0,0,1,0,1
0,0.7369812470186611,0.36666666666666664,0,1,0,0,1,1,0
1,0.751291674090081,0.9666666666666667,0,1,0,0,1,0,1
1,0.9864596922970822,0.06666666666666667,1,0,1,0,0,0,1
1,0.18478267116477684,0.9333333333333333,1,0,1,0,0,0,1
1,0.7900792533290422,0.9333333333333333,0,1,1,0,0,1,0
1,0.9842527830619717,0.7,1,0,0,1,0,1,0
1,0.13635710550060634,0.8333333333333334,1,0,0,0,1,1,0
1,0.7814987442456566,0.9333333333333333,1,0,0,1,0,1,0
1,0.47891654549738794,0.3333333333333333,1,0,0,0,1,1,0
0,0.37994471232593297,0.5333333333333333,1,0,0,0,1,1,0
0,0.5118535163995196,0.9333333333333333,0,1,1,0,0,1,0
0,0.3260995752849155,0.9666666666666667,1,0,0,0,1,0,1
1,0.6542853694561463,0.23333333333333334,0,1,0,0,1,1,0
1,0.5759113558123897,0.1,0,1,0,1,0,0,1
1,0.5163937723780022,0.16666666666666666,0,1,0,1,0,1,0
0,0.7906252334783533,0.36666666666666664,1,0,1,0,0,1,0
1,0.01566100954603189,0.03333333333333333,0,1,0,0,1,1,0
1,0.31145581296444236,0.0,0,1,1,0,0,0,1
1,0.918493784447037,1.0,0,1,0,1,0,0,1
1,0.8717808723038639,0.7,0,1,0,1,0,0,1
0,0.37972632026620845,0.5,0,1,1,0,0,0,1
1,0.732262829096719,0.9333333333333333,0,1,0,0,1,1,0
1,0.07289697067224526,0.7666666666666666,0,1,0,1,0,0,1
1,0.2740647934758246,0.7333333333333333,1,0,0,1,0,0,1
1,0.9689825803596573,0.8333333333333334,1,0,0,1,0,1,0
0,0.8152345703136226,1.0,1,0,1,0,0,1,0
1,0.2939901953459503,0.2,0,1,0,0,1,0,1
1,0.6759981379203329,0.3333333333333333,1,0,1,0,0,1,0
0,0.44733015706986823,0.8,0,1,0,1,0,1,0
0,0.15540319197236765,0.7666666666666666,1,0,0,1,0,0,1
1,0.45592790763165303,0.5333333333333333,0,1,0,0,1,0,1
1,0.7130960522761626,0.26666666666666666,0,1,0,0,1,1,0
1,0.1797481594721809,0.43333333333333335,0,1,0,0,1,1,0
1,0.2838522060471612,0.9333333333333333,1,0,0,1,0,1,0
1,0.0309024764510141,0.43333333333333335,1,0,0,1,0,0,1
1,0.34513416743774394,0.5,1,0,0,0,1,0,1
0,0.9578905625894402,0.7333333333333333,0,1,0,1,0,0,1
1,0.7087511997195386,0.6333333333333333,0,1,0,0,1,1,0
0,0.05940838740452531,0.6666666666666666,1,0,1,0,0,1,0
0,0.366973373410192,0.13333333333333333,1,0,1,0,0,0,1
1,0.078988959706665,1.0,1,0,0,0,1,0,1
1,0.2549382467715332,0.5,1,0,1,0,0,0,1
1,0.38618612750647996,0.0,1,0,0,1,0,0,1
1,0.8114816751820413,0.6333333333333333,1,0,0,1,0,0,1
1,0.1941332996166645,0.16666666666666666,1,0,0,0,1,0,1
0,0.642474956752625,0.3333333333333333,1,0,1,0,0,1,0
1,0.9397870102701741,0.36666666666666664,0,1,0,1,0,0,1
1,0.3717262742889327,0.6333333333333333,1,0,0,0,1,1,0
1,0.865303823585193,0.23333333333333334,1,0,0,0,1,0,1
1,0.5791814895487906,0.3333333333333333,0,1,0,1,0,0,1
1,0.9910056954350314,0.8333333333333334,0,1,0,1,0,1,0
0,0.44943936459404943,0.9333333333333333,0,1,0,0,1,1,0
1,0.8942062885418881,0.43333333333333335,0,1,0,0,1,0,1
0,0.015120776556187099,0.7,0,1,0,1,0,1,0
1,0.41538744475542966,0.13333333333333333,1,0,0,0,1,0,1
1,0.12785130949028442,0.9333333333333333,1,0,0,0,1,0,1
0,0.6894579853907207,0.3,0,1,0,1,0,0,1
1,0.7873493525824862,0.5666666666666667,0,1,0,0,1,0,1
1,0.18647233604790833,0.9,0,1,1,0,0,0,1
1,0.016563313582261985,0.0,0,1,0,0,1,0,1
1,0.5257558951488227,0.13333333333333333,0,1,1,0,0,1,0
0,0.8466255553192835,0.4666666666666667,1,0,0,1,0,1,0
0,0.6099287926942109,0.6666666666666666,1,0,0,1,0,0,1
1,0.1520008735682389,0.5333333333333333,0,1,0,0,1,0,1
0,0.6455726757050329,0.9333333333333333,0,1,0,1,0,1,0
1,0.6650785349341088,0.1,0,1,0,0,1,1,0
1,0.9221892079839539,0.8333333333333334,0,1,0,0,1,0,1
1,0.5759458387691884,0.43333333333333335,0,1,0,0,1,0,1
1,0.18054701463801517,0.26666666666666666,0,1,0,1,0,0,1
1,0.4993132144437612,0.4666666666666667,0,1,1,0,0,1,0
1,0.46718659302639676,0.43333333333333335,0,1,0,0,1,1,0
1,0.6573600997706883,0.5333333333333333,1,0,1,0,0,1,0
1,0.016074805027615102,0.7333333333333333,1,0,1,0,0,1,0
1,0.34108816717337453,0.7333333333333333,1,0,1,0,0,1,0
1,0.8818498956890558,0.6333333333333333,0,1,1,0,0,0,1
1,0.07075902735073192,0.6333333333333333,1,0,0,1,0,1,0
0,0.005948310047758892,0.3,0,1,1,0,0,1,0
1,0.5137328375450434,1.0,0,1,1,0,0,1,0
1,0.6227392111448916,0.4666666666666667,0,1,0,0,1,1,0
