Taxable.Income,City.Population,Work.Experience,Undergrad_NO,Undergrad_YES,Marital.Status_Divorced,Marital.Status_Married,Marital.Status_Single,Urban_NO,Urban_YES
68833,50047,10,True,False,False,False,True,False,True
33700,134075,18,False,True,True,False,False,False,True
36925,160205,30,True,False,False,True,False,False,True
50190,193264,15,False,True,False,False,True,False,True
81002,27533,28,True,False,False,True,False,True,False
33329,116382,0,True,False,True,False,False,True,False
83357,80890,8,True,False,True,False,False,False,True
62774,131253,3,False,True,False,False,True,False,True
83519,102481,12,True,False,False,False,True,False,True
98152,155482,4,False,True,True,False,False,False,True
29732,102602,19,True,False,False,False,True,False,True
61063,94875,6,True,False,False,False,True,False,True
11794,148033,14,True,False,True,False,False,False,True
61830,86649,16,True,False,False,True,False,False,True
64070,57529,13,True,False,False,True,False,False,True
69869,107764,29,True,False,True,False,False,True,False
24987,34551,29,False,True,True,False,False,True,False
39476,57194,25,False,True,False,True,False,True,False
97957,59269,6,False,True,True,False,False,True,False
10987,126953,30,True,False,False,False,True,False,True
88636,147222,26,False,True,False,False,True,True,False
14310,29106,7,False,True,True,False,False,False,True
78969,155342,14,False,True,True,False,False,True,False
92040,50495,12,True,False,False,False,True,False,True
38239,28495,30,True,False,True,False,False,True,False
31417,124606,27,True,False,True,False,False,False,True
55299,169128,15,False,True,True,False,False,True,False
87778,28542,12,False,True,False,False,True,False,True
10379,128766,5,False,True,False,False,True,False,True
94033,41863,30,False,True,True,False,False,False,True
73854,117788,0,False,True,True,False,False,False,True
64007,147414,21,True,False,True,False,False,True,False
97200,51911,23,False,True,False,True,False,True,False
82071,157251,21,False,True,False,False,True,True,False
12514,183767,1,False,True,True,False,False,False,True
31336,41117,30,False,True,False,True,False,False,True
10163,193995,5,False,True,False,True,False,False,True
68513,66912,5,True,False,False,True,False,False,True
14912,177575,3,True,False,False,False,True,True,False
74010,54981,16,True,False,False,True,False,False,True
50777,199697,26,True,False,False,False,True,False,True
49436,91524,1,False,True,False,True,False,True,False
96485,51666,12,True,False,False,False,True,True,False
70339,50020,10,False,True,True,False,False,True,False
33614,98880,22,False,True,True,False,False,True,False
81079,183095,14,False,True,False,True,False,False,True
31532,137346,27,False,True,False,True,False,False,True
44034,34964,2,False,True,False,False,True,True,False
16264,35480,12,True,False,False,True,False,True,False
45706,160195,15,True,False,True,False,False,False,True
79616,145804,3,False,True,False,False,True,False,True
40137,174042,30,False,True,False,False,True,True,False
97703,91828,23,True,False,False,False,True,True,False
21917,139143,7,False,True,False,False,True,False,True
81939,98207,23,True,False,True,False,False,True,False
19925,89965,16,False,True,False,False,True,False,True
34703,69832,25,True,False,False,True,False,False,True
78573,70744,13,True,False,False,False,True,True,False
10870,158047,15,False,True,False,False,True,True,False
65065,102228,11,True,False,False,False,True,True,False
94418,91138,23,False,True,False,True,False,True,False
26972,86169,8,False,True,False,True,False,True,False
91684,147684,13,True,False,True,False,False,False,True
51685,95831,9,False,True,True,False,False,True,False
62158,118261,15,False,True,False,False,True,True,False
58312,194738,29,True,False,True,False,False,True,False
42507,66985,12,False,True,False,True,False,False,True
61486,173986,24,False,True,False,True,False,True,False
10150,139642,5,True,False,False,False,True,True,False
99619,86896,29,False,True,False,False,True,True,False
89302,80904,3,False,True,True,False,False,False,True
94287,105680,22,True,False,False,False,True,True,False
41344,108300,27,False,True,True,False,False,False,True
41382,174789,2,False,True,False,False,True,False,True
32434,182319,17,True,False,True,False,False,True,False
61105,50404,19,True,False,False,True,False,False,True
67628,129164,11,False,True,False,True,False,True,False
